Title,SJR,SJR Best Quartile,H index,Total Docs. (2024),Total Docs. (3years),Total Refs.,Total Cites (3years),Citable Docs. (3years),Cites / Doc. (2years),Ref. / Doc.,%Female,APC (USD),Aging,Cancer Research,Cardiology and Cardiovascular Medicine,Community and Home Care,Complementary and Alternative Medicine,Critical Care and Intensive Care Medicine,Endocrinology,"Endocrinology, Diabetes and Metabolism",Gastroenterology,Geriatrics and Gerontology,Gerontology,Health Policy,Hematology,Hepatology,Immunology,Immunology and Allergy,Immunology and Microbiology,Infectious Diseases,Internal Medicine,Medicine,Nephrology,Oncology,Parasitology,Pulmonary and Respiratory Medicine,Reproductive Medicine,Respiratory Care,Rheumatology
Nestle Nutrition Institute Workshop Series,0.211,Q3,43,45,32,1162,19,28,0.59,25.82,50,2754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Russian Journal of Cardiology,0.211,Q4,31,196,664,5430,645,659,0.94,27.7,67.76,2465,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Signa Vitae,0.211,Q3,15,185,458,5571,293,436,0.67,30.11,36.99,2423,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Tuberculosis and Lung Diseases,0.211,Q4,21,72,293,1441,154,293,0.54,20.01,63.22,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
Annals of Critical Care,0.21,Q3,10,58,129,2318,139,126,0.96,39.97,37.76,2416,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anthropologischer Anzeiger,0.21,Q4,28,37,107,1864,52,102,0.5,50.38,49.37,2557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Assistive Technology Outcomes and Benefits,0.21,Q3,5,11,34,301,31,30,0.69,27.36,68.42,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Berliner und Munchener Tierarztliche Wochenschrift,0.21,Q4,40,12,38,1104,29,36,0.87,92,48.39,2416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Cardiovascular Therapy and Prevention (Russian Federation),0.21,Q4,26,218,617,7416,559,588,0.85,34.02,68.17,2457,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Clinical Diabetology,0.21,Q3,10,53,175,1453,98,149,0.53,27.42,41.99,2425,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Folia Medica,0.21,Q4,30,120,422,2883,311,422,0.64,24.03,47.11,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Gastroenterology and Endoscopy,0.21,Q3,4,32,31,949,43,29,1.39,29.66,27.59,2497,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
International Medical Case Reports Journal,0.21,Q4,20,159,397,2938,284,396,0.59,18.48,32.68,2547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of International Peacekeeping,0.21,Q3,14,17,55,1398,33,54,0.75,82.24,16.67,2350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Acta crystallographica. Section C, Structural chemistry",0.209,Q4,25,105,265,3812,211,256,0.95,36.3,28.68,2545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Asia Pacific Journal of Health Management,0.209,Q4,10,112,262,2995,178,241,0.73,26.74,49.64,2451,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jornal Brasileiro de Patologia e Medicina Laboratorial,0.209,Q3,19,6,84,203,63,82,1.54,33.83,42.86,2401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Healthcare Risk Management,0.209,Q4,22,18,64,0,35,49,0.47,0,50,2520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Korean Journal of Community Nutrition,0.209,Q4,3,40,65,1424,45,64,0.69,35.6,73.39,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Open Sports Sciences Journal,0.209,Q4,18,9,57,475,42,55,0.65,52.78,48.15,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Physical Treatments,0.209,Q3,5,32,84,1162,56,83,0.61,36.31,39.78,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vestnik Oftalmologii,0.209,Q3,18,129,390,3779,253,389,0.56,29.29,64.29,2482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Vestnik Otorinolaringologii,0.209,Q3,13,82,318,2049,156,318,0.39,24.99,58.94,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zeitschrift fur Geburtshilfe und Neonatologie,0.209,Q3,22,81,378,1241,109,235,0.27,15.32,48.54,2448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Asia Pacific Scholar,0.208,Q3,7,62,163,779,81,129,0.47,12.56,48.15,2415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Biomedical Research and Therapy,0.208,Q4,10,90,195,3306,149,195,0.62,36.73,41.14,2387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Indian Academy of Forensic Medicine,0.208,Q3,22,100,324,1820,48,309,0.16,18.2,23.81,2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
REC: Interventional Cardiology,0.208,Q4,8,69,244,1194,81,125,0.33,17.3,30.54,2655,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Klinicka Onkologie,0.207,Q4,17,52,218,1301,103,177,0.48,25.02,50.9,2491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Medical Journal of Babylon,0.207,Q4,10,233,407,6486,414,399,1.15,27.84,51.86,2470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Pulmonologiya,0.207,Q4,15,95,268,2992,230,266,0.97,31.49,58.4,2366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Shiraz E Medical Journal,0.207,Q4,18,81,308,2513,189,282,0.56,31.02,46.34,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
The gulf journal of oncology,0.207,Q4,14,23,101,0,73,101,0.6,0,46.3,2424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Current Cancer Therapy Reviews,0.206,Q4,19,73,96,7066,82,91,0.96,96.79,41.09,2358,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Current Traditional Medicine,0.206,Q3,10,99,176,8212,182,173,1.1,82.95,45.95,2425,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Human Microbiome Journal,0.206,Q4,21,0,5,0,3,5,0,0,0,3272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Jundishapur Journal of Microbiology,0.206,Q4,45,71,224,2127,155,219,0.54,29.96,42.82,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Professioni infermieristiche,0.206,Q4,17,0,84,0,41,79,0.63,0,0,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Russian Journal of Gastroenterology, Hepatology, Coloproctology",0.206,Q3,14,62,171,2556,178,171,0.92,41.23,68.76,2421,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0
Emergency medicine practice,0.205,Q4,20,15,63,0,47,63,0.56,0,51.35,2513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hong Kong Journal of Emergency Medicine,0.205,Q3,17,52,175,1353,101,154,0.52,26.02,31.28,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Iranian Journal of Health Education and Health Promotion,0.205,Q4,9,31,97,1118,64,97,0.51,36.06,48.08,2431,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Nephropharmacology,0.205,Q3,8,35,77,950,41,73,0.53,27.14,42.19,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Open Respiratory Medicine Journal,0.205,Q4,26,9,46,338,33,42,0.55,37.56,45,2693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Voprosy Virusologii,0.205,Q4,20,50,147,2069,134,147,0.81,41.38,53.46,2443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Forum for Health Economics and Policy,0.204,Q4,12,2,14,215,8,12,0.4,107.5,33.33,2647,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Sichuan University (Medical Science),0.204,Q4,21,215,564,2755,381,564,0.7,12.81,48.36,2386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Revista Iberoamericana de Micologia,0.204,Q4,51,9,70,285,67,65,1,31.67,55.56,2667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Acta Bioethica,0.203,Q4,12,34,101,912,47,82,0.43,26.82,33.33,2402,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arabian Journal of Medicinal and Aromatic Plants,0.203,Q3,8,9,81,360,72,81,0.98,40,36.73,2464,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Archives of Pediatric Infectious Diseases,0.203,Q3,17,26,107,832,68,104,0.61,32,52.21,2479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Chinese Circulation Journal,0.203,Q4,12,163,455,4935,370,455,0.81,30.28,39.79,2481,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Congenital Heart Disease,0.203,Q3,60,54,171,1706,154,168,1.21,31.59,40.81,2926,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Inborn Errors of Metabolism and Screening,0.203,Q3,15,10,58,351,31,56,0.3,35.1,60.87,2386,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Krishna Institute of Medical Sciences University,0.203,Q4,13,81,187,1631,79,178,0.35,20.14,50.47,2478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Siriraj Medical Journal,0.203,Q4,9,102,325,2929,183,321,0.49,28.72,56,2397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Anaesthesia Reports,0.202,Q3,9,70,177,649,98,123,0.57,9.27,38.79,2524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chinese Journal of Radiological Health,0.202,Q4,8,84,393,1781,176,393,0.52,21.2,37.1,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chinese Medicine and Culture,0.202,Q3,6,42,116,1103,59,112,0.4,26.26,34.88,2409,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of High Dilution Research,0.202,Q3,10,52,124,625,26,118,0.17,12.02,47.37,2388,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Arthroscopy and Joint Surgery,0.202,Q4,10,37,126,906,44,121,0.22,24.49,8.47,2434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Health Care Finance,0.202,Q4,28,0,25,0,8,25,0,0,0,2389,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Writing,0.202,Q4,7,90,221,903,40,150,0.22,10.03,75.47,2406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Problemy Osobo Opasnykh Infektsii,0.202,Q4,11,102,176,2670,127,175,0.86,26.18,61.14,2464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
Series on Biomechanics,0.202,Q4,8,43,129,1078,67,129,0.59,25.07,46.09,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sudebno-Meditsinskaya Ekspertisa,0.202,Q3,10,72,243,1334,89,243,0.32,18.53,52.12,2463,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Drug and Therapeutics Bulletin,0.201,Q3,17,79,262,939,98,131,0.4,11.89,42.59,2388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
International Journal of Cancer Management,0.201,Q3,28,59,227,1916,145,223,0.61,32.47,48.75,2500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Journal of Medical Biography,0.201,Q4,17,109,149,3382,40,129,0.24,31.03,30.32,2497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Plastination,0.201,Q3,3,4,26,70,8,22,0.27,17.5,61.54,2316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Radiotherapy in Practice,0.201,Q4,19,28,279,552,147,275,0.48,19.71,36.29,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Klinische Padiatrie,0.201,Q3,50,95,180,1397,110,171,0.56,14.71,53.24,2507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Laparoscopic Surgery,0.201,Q3,5,5,107,120,51,90,0.45,24,35.71,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Orthopaedics, Traumatology and Prosthetics",0.201,Q3,3,53,96,1307,24,92,0.25,24.66,17.16,2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Sonography,0.201,Q4,8,80,96,1663,51,73,0.5,20.79,42.52,2472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Turk Geriatri Dergisi,0.201,Q4,18,47,187,1011,75,175,0.28,21.51,52.63,2403,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iranian Journal of Radiology,0.2,Q4,23,18,151,464,61,149,0.45,25.78,45.45,2326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Cutaneous Immunology and Allergy,0.2,Q3,7,39,178,426,60,63,0.34,10.92,38.93,2480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Journal of Radiology Case Reports,0.2,Q4,26,81,88,1321,58,86,0.64,16.31,37.23,2486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Problemy Radiatsiinoi Medytsyny ta Radiobiolohii,0.2,Q4,10,32,105,782,52,104,0.56,24.44,66.67,2459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Saudi journal of kidney diseases and transplantation : an official publication of the Saudi Center for Organ Transplantation, Saudi Arabia.",0.2,Q3,39,0,489,0,233,442,0.29,0,0,2527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Terapevticheskii Arkhiv,0.2,Q3,24,171,671,4945,540,670,0.92,28.92,63.77,2422,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Turkish Journal of Thoracic and Cardiovascular Surgery,0.2,Q3,14,80,280,1881,170,275,0.57,23.51,23.3,2435,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Chinese Journal of Disease Control and Prevention,0.199,Q4,7,201,733,4183,402,733,0.58,20.81,49.36,2395,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chinese Journal of Gastrointestinal Surgery,0.199,Q3,18,187,535,5957,239,526,0.43,31.86,31.45,2405,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Medical Letter on Drugs and Therapeutics,0.199,Q3,22,143,396,1064,192,238,0.52,7.44,0,2538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Nutricion Clinica y Dietetica Hospitalaria,0.199,Q4,16,170,215,4767,137,214,0.59,28.04,56.79,2413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Revista Espanola de Geriatria y Gerontologia,0.199,Q4,30,68,247,1521,124,222,0.5,22.37,56.12,2550,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
South African Journal of Bioethics and Law,0.199,Q4,8,30,65,635,49,48,0.83,21.17,68.18,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Voprosy Pitaniia,0.199,Q4,22,71,216,2324,205,216,0.87,32.73,63.59,2458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Aging Medicine and Healthcare,0.198,Q4,24,32,93,922,77,78,0.98,28.81,54.14,2417,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comparative Exercise Physiology,0.198,Q4,20,39,160,1433,88,158,0.47,36.74,45.28,2582,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Indian Journal of Medical Ethics,0.198,Q4,24,66,238,1396,111,134,0.46,21.15,55.74,2576,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Journal of Intellectual Disabilities and Offending Behaviour,0.198,Q4,15,3,22,128,24,22,0.83,42.67,40,2562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Qualitative Research in Medicine and Healthcare,0.198,Q4,5,25,39,859,27,29,0.68,34.36,65,2470,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Radiologic Technology,0.198,Q4,29,68,213,1141,83,212,0.27,16.78,56.86,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Revue des Maladies Respiratoires,0.198,Q4,34,85,357,4832,170,293,0.43,56.85,44.82,2481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Tunisie Medicale,0.198,Q4,22,177,409,4532,269,393,0.62,25.6,64.08,2529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Bulletin of Tokyo Dental College,0.197,Q4,28,11,61,246,34,61,0.63,22.36,17.65,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Investigative Magnetic Resonance Imaging,0.197,Q4,9,26,104,693,60,104,0.52,26.65,49.45,2467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Medicina (Buenos Aires),0.197,Q4,36,266,666,3637,275,495,0.43,13.67,50.92,2494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Azerbaijan Medical Journal,0.196,Q4,8,113,294,1578,92,293,0.31,13.96,58.36,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Case Reports in Anesthesiology,0.196,Q3,8,3,72,56,57,72,0.68,18.67,33.33,2471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chinese Journal of Reparative and Reconstructive Surgery,0.196,Q4,16,227,637,0,370,637,0.56,0,29.02,2367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Christian Journal for Global Health,0.196,Q4,4,25,56,707,24,46,0.47,28.28,46.15,2341,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinical Practice and Cases in Emergency Medicine,0.196,Q3,9,105,225,1070,112,216,0.42,10.19,32.92,2360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Hepatitis Monthly,0.196,Q4,48,24,115,736,62,111,0.5,30.67,52.59,2509,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Image Analysis and Stereology,0.196,Q4,31,18,49,570,58,49,1.38,31.67,28.95,2576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Infektsionnye Bolezni,0.196,Q4,11,64,200,1976,147,199,0.7,30.88,67.57,2384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
International Journal of Emergency Management,0.196,Q3,28,3,37,184,26,37,0.62,61.33,14.29,2473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Family and Reproductive Health,0.196,Q3,8,40,40,1052,24,38,0.6,26.3,72.15,2465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Medicine (United Kingdom),0.196,Q4,33,156,434,1000,292,434,0.57,6.41,41.06,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Ortopedia Traumatologia Rehabilitacja,0.196,Q3,27,15,113,0,63,113,0.49,0,22,2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acta Medica Lituanica,0.195,Q4,9,46,102,1035,64,101,0.58,22.5,49.43,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Annals of Cancer Research and Therapy,0.195,Q4,7,6,57,249,20,57,0.29,41.5,42.5,2359,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Current Nanomedicine,0.195,Q4,9,23,57,1828,63,55,0.94,79.48,40.74,2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Eurasian Journal of Medicine and Oncology,0.195,Q3,14,45,150,1860,91,134,0.62,41.33,39.15,2516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0
Indian Journal of Nuclear Medicine,0.195,Q4,20,78,305,974,132,287,0.38,12.49,37.83,2462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Journal of Chiropractic Humanities,0.195,Q3,15,6,18,274,14,16,0.58,45.67,81.82,2456,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Kesmas: Jurnal Kesehatan Masyarakat Nasional,0.195,Q4,12,51,171,1538,114,167,0.63,30.16,52.74,2437,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russian Journal of Forensic Medicine,0.195,Q3,7,40,124,756,45,124,0.49,18.9,38.14,2412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Zeitschrift fur Allgemeinmedizin,0.195,Q4,16,144,341,1471,77,192,0.24,10.22,47.26,2466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Acta Physiologica Sinica,0.194,Q4,30,91,289,6405,138,282,0.51,70.38,42.17,2488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chinese Journal of Academic Radiology,0.194,Q4,7,44,67,1504,32,67,0.41,34.18,38.02,2477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Chinese Journal of Preventive Medicine,0.194,Q4,34,277,858,11083,450,856,0.58,40.01,49.47,2470,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frontiers of Health Services Management,0.194,Q4,25,18,58,0,24,55,0.56,0,53.85,2356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Iranian Journal of Blood and Cancer,0.194,Q4,10,40,100,2037,78,92,1.07,50.93,37.57,2314,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Journal of Family Practice,0.194,Q3,101,0,417,0,136,342,0.37,0,0,2396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
MCB Molecular and Cellular Biomechanics,0.194,Q4,32,359,50,11112,68,49,1.33,30.95,42.66,2456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Open Rheumatology Journal,0.194,Q4,39,0,25,0,13,25,0.57,0,0,2597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
